funcao_objetivo,total_geracoes,tamanho_populacao,total_pais_cruzamento,tipo_selecao_pais,tipo_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,melhor_execucao,melhor_avaliacao
High Conditioned Elliptic Function,100,50,2,rws,single_point,random,0.05,1,12,2.6712523655695748e-08
Rastrigin Function,100,50,2,rws,single_point,random,0.05,1,12,0.0003831916779439
High Conditioned Elliptic Function,100,50,2,sss,single_point,random,0.05,1,6,4.162312841364464e-07
Rastrigin Function,100,50,2,sss,single_point,random,0.05,1,14,0.0120848385781632
High Conditioned Elliptic Function,100,50,3,sss,single_point,random,0.05,1,11,1.2450161958795596e-07
Rastrigin Function,100,50,3,sss,single_point,random,0.05,1,2,0.0087836713886163
High Conditioned Elliptic Function,100,50,4,sss,single_point,random,0.05,1,5,2.737595236513241e-07
Rastrigin Function,100,50,4,sss,single_point,random,0.05,1,5,0.0110109411427124
High Conditioned Elliptic Function,100,50,2,sus,single_point,random,0.05,1,10,1.4865957109084464e-07
Rastrigin Function,100,50,2,sus,single_point,random,0.05,1,5,0.0006639589781083
High Conditioned Elliptic Function,100,50,3,sus,single_point,random,0.05,1,14,6.224368301241074e-08
Rastrigin Function,100,50,3,sus,single_point,random,0.05,1,0,0.0008001542204347
High Conditioned Elliptic Function,100,50,4,sus,single_point,random,0.05,1,11,5.6845382155624e-08
Rastrigin Function,100,50,4,sus,single_point,random,0.05,1,5,0.0012837437831274
High Conditioned Elliptic Function,100,50,2,rank,single_point,random,0.05,1,11,1.0225052271508626e-07
Rastrigin Function,100,50,2,rank,single_point,random,0.05,1,8,0.0008271616821878
High Conditioned Elliptic Function,100,50,3,rank,single_point,random,0.05,1,13,1.5437924365954238e-07
Rastrigin Function,100,50,3,rank,single_point,random,0.05,1,6,0.0007700139669701
High Conditioned Elliptic Function,100,50,4,rank,single_point,random,0.05,1,11,6.444349838569019e-08
Rastrigin Function,100,50,4,rank,single_point,random,0.05,1,11,0.0013958415316734
High Conditioned Elliptic Function,100,50,2,tournament,single_point,random,0.05,1,8,2.310136041511644e-07
Rastrigin Function,100,50,2,tournament,single_point,random,0.05,1,8,0.0024654639223264
High Conditioned Elliptic Function,100,50,3,tournament,single_point,random,0.05,1,13,4.428869427125598e-07
Rastrigin Function,100,50,3,tournament,single_point,random,0.05,1,13,0.0037488624290055
High Conditioned Elliptic Function,100,50,4,tournament,single_point,random,0.05,1,11,6.066921189474879e-07
Rastrigin Function,100,50,4,tournament,single_point,random,0.05,1,0,0.0045994352133894
High Conditioned Elliptic Function,100,50,2,rws,single_point,random,0.05,1,12,2.6712523655695748e-08
Rastrigin Function,100,50,2,rws,single_point,random,0.05,1,12,0.0003831916779439
High Conditioned Elliptic Function,100,50,2,rws,two_points,random,0.05,1,14,9.462636347828796e-08
Rastrigin Function,100,50,2,rws,two_points,random,0.05,1,13,0.0005774910743954
High Conditioned Elliptic Function,100,50,2,rws,uniform,random,0.05,1,0,2.7142439175407365e-07
Rastrigin Function,100,50,2,rws,uniform,random,0.05,1,13,0.0004900168910301
High Conditioned Elliptic Function,100,50,2,rws,scattered,random,0.05,1,0,2.7142439175407365e-07
Rastrigin Function,100,50,2,rws,scattered,random,0.05,1,13,0.0004900168910301
High Conditioned Elliptic Function,100,50,2,rws,two_points,random,0.05,1,14,9.462636347828796e-08
Rastrigin Function,100,50,2,rws,two_points,random,0.05,1,13,0.0005774910743954
High Conditioned Elliptic Function,100,50,2,rws,two_points,swap,0.05,1,11,4.367134486947464e-09
Rastrigin Function,100,50,2,rws,two_points,swap,0.05,1,5,6.450432794362884e-05
High Conditioned Elliptic Function,100,50,2,rws,two_points,inversion,0.05,1,1,7.171588947660637e-09
Rastrigin Function,100,50,2,rws,two_points,inversion,0.05,1,3,8.433048995480053e-05
High Conditioned Elliptic Function,100,50,2,rws,two_points,scramble,0.05,1,0,8.922741787121558e-09
Rastrigin Function,100,50,2,rws,two_points,scramble,0.05,1,13,8.336754529602573e-05
High Conditioned Elliptic Function,100,50,2,rws,single_point,random,0.05,1,12,2.6712523655695748e-08
Rastrigin Function,100,50,2,rws,single_point,random,0.05,1,12,0.0003831916779439
High Conditioned Elliptic Function,100,50,2,rws,single_point,swap,0.05,1,13,2.467136335469417e-09
Rastrigin Function,100,50,2,rws,single_point,swap,0.05,1,3,8.458988499586769e-05
High Conditioned Elliptic Function,100,50,2,rws,single_point,inversion,0.05,1,11,6.754580713527243e-09
Rastrigin Function,100,50,2,rws,single_point,inversion,0.05,1,3,8.433048995480053e-05
High Conditioned Elliptic Function,100,50,2,rws,single_point,scramble,0.05,1,2,6.8166986537405e-09
Rastrigin Function,100,50,2,rws,single_point,scramble,0.05,1,4,0.0001092786989885
High Conditioned Elliptic Function,100,50,2,sus,single_point,swap,0.05,1,4,3.987850764184384e-09
High Conditioned Elliptic Function,100,50,2,sus,single_point,swap,0.05,2,4,4.076272915840276e-09
High Conditioned Elliptic Function,100,50,2,sus,single_point,swap,0.05,3,4,3.979595862030965e-09
High Conditioned Elliptic Function,100,50,2,sus,single_point,swap,0.05,4,13,3.825487699663416e-09
Rastrigin Function,100,50,2,rws,single_point,inversion,0.05,1,3,8.433048995480053e-05
Rastrigin Function,100,50,2,rws,single_point,inversion,0.05,2,13,8.357976204244146e-05
Rastrigin Function,100,50,2,rws,single_point,inversion,0.05,3,8,0.000127719524832
Rastrigin Function,100,50,2,rws,single_point,inversion,0.05,4,0,0.0003191184568928
High Conditioned Elliptic Function,100,50,2,sus,single_point,swap,0.05,4,13,3.825487699663416e-09
High Conditioned Elliptic Function,100,100,2,sus,single_point,swap,0.05,4,7,4.6127602620908256e-09
High Conditioned Elliptic Function,100,10,2,sus,single_point,swap,0.05,4,11,1.0533132472252596e-09
High Conditioned Elliptic Function,100,150,2,sus,single_point,swap,0.05,4,2,5.163958077402462e-09
Rastrigin Function,100,50,2,rws,single_point,inversion,0.05,2,13,8.357976204244146e-05
Rastrigin Function,100,100,2,rws,single_point,inversion,0.05,2,0,0.0001203719112652
Rastrigin Function,100,10,2,rws,single_point,inversion,0.05,2,11,0.0002024476981296
Rastrigin Function,100,150,2,rws,single_point,inversion,0.05,2,10,0.0001059004333164
High Conditioned Elliptic Function,100,50,2,sus,single_point,random,0.05,1,10,1.4865957109084464e-07
High Conditioned Elliptic Function,100,50,2,sus,two_points,random,0.05,1,13,8.266186975397779e-08
High Conditioned Elliptic Function,100,50,4,sus,single_point,random,0.05,1,11,5.6845382155624e-08
High Conditioned Elliptic Function,100,50,4,sus,two_points,random,0.05,1,12,7.793158265685329e-08
High Conditioned Elliptic Function,100,50,4,sus,uniform,random,0.05,1,0,3.060693540379819e-07
High Conditioned Elliptic Function,100,50,4,sus,scattered,random,0.05,1,0,3.060693540379819e-07
High Conditioned Elliptic Function,100,50,4,sus,scattered,random,0.05,1,0,3.060693540379819e-07
