execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,perc_mutation,perc_crossover,crossover_type,best_ind,best_fitness,out_bounds
1,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-4.13295943e-58  3.30479298e-58  2.51588616e-59  6.28065293e-59
  1.72582851e-59 -5.75462659e-60  2.33018488e-60  2.59419935e-61
 -1.18136348e-60  2.04961342e-61]",1.6955571296484606e-114,932
2,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 1.36999201e-54  2.83441649e-55 -2.64859458e-55  1.07511601e-55
  6.48969668e-56  2.73488467e-56  1.18910783e-56  7.76237897e-57
  6.39805412e-57  1.99664870e-57]",2.5499840253315188e-107,830
3,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 2.88738526e-57  6.56259259e-58  1.65542480e-59 -1.50950953e-58
 -1.92102101e-58 -1.15822036e-58  9.47226806e-60  2.60841917e-59
 -8.01908117e-60  3.70010007e-61]",1.0511974248795468e-112,771
4,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 1.00000000e+02  3.49010743e-08 -6.17694852e-08  7.44964237e-08
  1.16215451e-08  5.64241088e-09 -4.41134651e-09  2.79857169e-09
 -9.78537210e-10  6.61497846e-10]",10000.0,629
5,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-3.50548235e-57  6.10437312e-58  3.44583875e-58 -2.91707680e-58
  3.12613561e-58  5.41039199e-60  3.70078296e-60 -1.85738502e-59
  1.58505027e-59 -3.14894541e-60]",1.507029364936718e-112,945
6,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 1.03979920e-57 -1.18110069e-58 -2.63272153e-58  1.52523215e-58
 -6.41943608e-60 -2.31000066e-59  1.32922148e-59  8.34866322e-60
  1.05119643e-60  3.78017354e-61]",1.151729895479195e-113,865
7,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-1.00000000e+02  3.44610692e-07 -7.36089147e-08 -7.97728849e-08
  3.48584193e-10 -6.12699104e-09  4.68325855e-09  1.86844834e-09
 -1.82495724e-09 -3.99533635e-10]",10000.0,911
8,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-1.67178176e-59 -4.94121375e-60  4.47995233e-60  3.34970183e-60
 -5.72158944e-62  1.76306572e-61  1.78781530e-61 -1.51604911e-61
 -2.24236460e-64 -6.74240120e-63]",3.447669443164962e-117,746
9,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 1.53099125e-57 -7.32245884e-58  1.19118538e-58  3.80710013e-58
 -2.16325465e-59  2.19841326e-59 -2.46073920e-60  9.33525148e-61
  2.74933375e-60  1.85428773e-60]",2.6058730102176825e-113,789
10,f1,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-3.59092360e-59 -1.60668157e-58  9.62974372e-59 -2.76277604e-59
  1.16770346e-59  8.98653232e-60 -4.14001650e-60  2.96660173e-61
  4.02978420e-61  3.54277331e-62]",8.462233972887147e-115,900
